Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CN(CCn1nccc1C(=O)Nc1cccc2c1CCCC2)C,C18H24N4O,312.41,23,11,0.44,6,3,1,92.45,50.16,3.2,2.75,2.38,2.16,2.31,2.56,-3.47,0.107,0.000341,Soluble,-3.46,0.109,0.000348,Soluble,-4.94,0.00359,1.15e-05,Moderately soluble,High,Yes,No,No,Yes,No,Yes,No,-6.25,0,0,0,0,0,0.55,0,0,0,2.8
Molecule 2,CC(SCC(=O)N[C@@H]1C[C@H](N(C1)C(=O)CSC(C)C)C)C,C15H28N2O2S2,332.53,21,0,0.87,9,2,1,97.3,100.01,3.11,2.63,1.99,1.71,2.42,2.37,-2.96,0.361,0.00109,Soluble,-4.38,0.0138,4.16e-05,Moderately soluble,-2.85,0.47,0.00141,Soluble,High,No,No,No,No,No,No,No,-6.46,0,0,0,0,0,0.55,0,0,1,3.47
Molecule 3,CCOc1ccccc1NC(=O)c1sc(nc1C)NC1CC1,C16H19N3O2S,317.41,22,11,0.38,7,3,2,89.4,91.49,3.26,3.73,3.23,1.81,3.78,3.16,-4.07,0.0273,8.590000000000001e-05,Moderately soluble,-5.34,0.00144,4.54e-06,Moderately soluble,-5.36,0.0013800000000000002,4.34e-06,Moderately soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-5.59,0,0,0,0,0,0.55,0,0,1,3.07
Molecule 4,COCCC[C@@H](C(=O)NCC(C(=O)N1CCCC1)(C)C)C,C16H30N2O3,298.42,21,0,0.88,10,3,1,87.75,58.64,3.21,1.46,1.43,1.13,2.56,1.96,-1.95,3.35,0.0112,Very soluble,-2.3,1.5,0.00504,Soluble,-3.27,0.16,0.000537,Soluble,High,Yes,Yes,No,No,No,No,No,-7.08,0,0,0,0,0,0.55,0,0,1,2.87
Molecule 5,CCOC(=O)[C@H]1CCCN(C1)CC(=O)NCc1ccnc(c1)N1CCCC1,C20H30N4O3,374.48,27,6,0.65,9,5,1,110.9,74.77,3.47,1.69,0.66,1.27,2.08,1.83,-2.8,0.598,0.0016,Soluble,-2.88,0.499,0.00133,Soluble,-4.2,0.0237,6.34e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.38,0,0,0,0,0,0.55,0,0,2,3.47
Molecule 6,O=C([C@H]1CCC1(C)C)N[C@H](C1CC1)CNC(=O)c1onc(c1)C1CC1,C19H27N3O3,345.44,25,5,0.74,9,4,2,93.36,84.23,3.3,2.51,2.49,1.88,3.18,2.67,-3.12,0.264,0.0007639999999999999,Soluble,-3.92,0.0411,0.000119,Soluble,-4.5,0.011000000000000001,3.18e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-6.63,0,0,0,0,0,0.55,0,0,1,4.08
Molecule 7,Fc1cc2nn[nH]c2c(c1)C(=O)OCc1onc(n1)c1ccccc1,C16H10FN5O3,339.28,25,20,0.06,5,8,1,82.91,106.79,2.61,2.46,2.77,2.27,3.0,2.62,-3.76,0.0596,0.000176,Soluble,-4.35,0.0153,4.5e-05,Moderately soluble,-6.38,0.00014,4.14e-07,Poorly soluble,High,No,No,Yes,Yes,No,No,No,-6.62,0,0,0,0,0,0.55,0,0,0,3.0
Molecule 8,CCOC(=O)[C@@H]1CCCN(C1)CC(=O)NCc1ccnc(c1)N1CCCC1,C20H30N4O3,374.48,27,6,0.65,9,5,1,110.9,74.77,3.38,1.69,0.66,1.27,2.08,1.81,-2.8,0.598,0.0016,Soluble,-2.88,0.499,0.00133,Soluble,-4.2,0.0237,6.34e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.38,0,0,0,0,0,0.55,0,0,2,3.47
Molecule 9,CCN(CC(=O)NC[C@@H](C1CC1)NC(=O)[C@H]1CCNC(=O)C1)CC,C17H30N4O3,338.45,24,0,0.82,11,4,3,95.42,90.54,2.46,-0.18,-0.58,0.07,1.23,0.6,-1.1,26.9,0.0796,Very soluble,-1.27,18.4,0.0542,Very soluble,-3.33,0.16,0.0004730000000000001,Soluble,High,No,Yes,No,No,No,No,No,-8.49,0,1,1,0,0,0.55,0,0,1,3.36
Molecule 10,CCS[C@@H](c1noc(n1)COC(=O)c1cc(F)cc2c1[nH]nn2)C,C14H14FN5O3S,351.36,24,14,0.36,7,8,1,84.45,132.09,2.71,2.05,2.59,2.13,3.04,2.5,-3.28,0.185,0.000525,Soluble,-4.45,0.0124,3.53e-05,Moderately soluble,-5.2,0.00224,6.37e-06,Moderately soluble,High,No,No,Yes,Yes,No,No,No,-6.99,0,0,0,1,0,0.55,0,0,1,3.67
