Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,C[C@@H]1O[C@@H]1P(=O)(O)O,C3H7O4P,138.06,8,0,1.0,1,4,2,26.49,79.87,0.08,-1.38,-0.09,-1.68,-0.75,-0.77,0.24,240.0,1.74,Highly soluble,0.2,221.0,1.6,Highly soluble,1.06,1600.0,11.6,Soluble,High,No,No,No,No,No,No,No,-8.12,0,3,0,0,2,0.56,0,2,1,3.93
Molecule 2,Clc1ccccc1C(n1cncc1)(c1ccccc1)c1ccccc1,C22H17ClN2,344.84,25,23,0.05,4,1,0,101.84,17.82,3.07,5.41,5.38,4.38,4.98,4.64,-5.8,0.000543,1.57e-06,Moderately soluble,-5.54,0.0009960000000000001,2.89e-06,Moderately soluble,-8.59,8.88e-07,2.58e-09,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-4.56,1,0,0,0,1,0.55,0,0,1,2.7
Molecule 3,Nc1nc(N)c2c(n1)nc(c(n2)c1ccccc1)N,C12H11N7,253.26,19,16,0.0,1,4,3,73.78,129.62,1.45,0.98,0.86,0.08,0.18,0.71,-2.58,0.659,0.0026,Soluble,-3.29,0.13,0.000513,Soluble,-4.03,0.0237,9.350000000000001e-05,Moderately soluble,High,No,Yes,Yes,No,No,Yes,Yes,-7.15,0,0,0,0,0,0.55,0,0,0,2.51
Molecule 4,O=C1OCC(=C1)[C@H]1CC[C@]2([C@]1(C)[C@H](O)C[C@H]1[C@H]2CC[C@H]2[C@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O[C@H]1C[C@H](O)[C@@H]([C@H](O1)C)O)O,C41H64O14,780.94,55,0,0.93,7,14,6,196.1,203.06,4.62,1.26,2.22,0.38,0.65,1.83,-5.01,0.00757,9.69e-06,Moderately soluble,-5.12,0.00588,7.53e-06,Moderately soluble,-1.43,29.3,0.0375,Soluble,Low,No,Yes,No,No,No,No,No,-10.17,3,3,1,1,5,0.17,0,1,1,8.81
Molecule 5,Oc1cccc2c1nccc2,C9H7NO,145.16,11,10,0.0,0,2,1,43.77,33.12,1.65,2.02,1.94,1.19,2.01,1.76,-2.69,0.3,0.00206,Soluble,-2.34,0.659,0.00454,Soluble,-3.1,0.115,0.000791,Soluble,High,Yes,No,Yes,No,No,No,No,-5.75,0,2,0,0,1,0.55,0,0,1,1.07
Molecule 6,COc1c(N2CCN[C@@H](C2)C)c(F)cc2c1n(cc(c2=O)C(=O)O)C1CC1,C19H22FN3O4,375.39,27,10,0.47,4,6,2,106.55,83.8,2.56,-0.74,1.58,1.21,2.04,1.33,-1.71,7.3,0.0194,Very soluble,-0.54,107.0,0.28600000000000003,Very soluble,-3.76,0.0654,0.000174,Soluble,High,No,Yes,No,No,No,No,No,-9.12,0,0,0,0,0,0.55,0,0,1,3.47
Molecule 7,CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)OC(=O)N1CCC(CC1)N1CCCCC1,C33H38N4O6,586.68,43,16,0.52,6,8,1,169.63,114.2,4.97,3.74,3.07,2.55,4.33,3.73,-5.71,0.00114,1.94e-06,Moderately soluble,-5.83,0.000867,1.48e-06,Moderately soluble,-7.28,3.09e-05,5.26e-08,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.22,1,3,0,0,0,0.55,0,0,2,5.59
Molecule 8,OCC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,C27H29NO11,543.52,39,12,0.44,5,12,6,132.66,206.07,2.58,1.27,-0.32,-2.1,1.17,0.52,-3.91,0.0672,0.000124,Soluble,-5.2,0.00346,6.36e-06,Moderately soluble,-3.46,0.187,0.000344,Soluble,Low,No,Yes,No,No,No,No,No,-8.71,3,2,1,1,3,0.17,1,1,1,5.81
Molecule 9,ClCCN(c1ccc(cc1)C[C@@H](C(=O)O)N)CCCl,C13H18Cl2N2O2,305.2,19,6,0.46,8,3,2,78.91,66.56,2.22,0.2,1.92,-0.03,2.36,1.34,-1.56,8.33,0.0273,Very soluble,-1.16,21.3,0.0697,Very soluble,-4.04,0.0278,9.120000000000001e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-8.02,0,0,0,0,0,0.55,1,1,1,2.27
Molecule 10,Nc1nc(=O)[nH]cc1F,C4H4FN3O,129.09,9,6,0.0,0,3,2,29.22,71.77,0.58,-0.99,-0.08,-0.37,0.92,0.01,-0.51,39.9,0.309,Very soluble,-0.03,120.0,0.9309999999999999,Very soluble,-1.44,4.67,0.0361,Soluble,High,No,No,No,No,No,No,No,-7.79,0,3,0,0,2,0.55,0,0,1,1.64
Molecule 11,O=C(C1=C(O)c2ccccc2S(=O)(=O)N1C)Nc1ccccn1,C15H13N3O4S,331.35,23,12,0.07,3,5,2,87.52,107.98,1.67,3.06,2.09,-0.04,0.14,1.38,-4.01,0.0324,9.77e-05,Moderately soluble,-4.99,0.00336,1.01e-05,Moderately soluble,-4.11,0.0257,7.759999999999999e-05,Moderately soluble,High,No,No,No,No,Yes,No,No,-6.15,0,0,0,0,0,0.56,0,0,0,3.42
Molecule 12,S=c1[nH]cnc2c1[nH]cn2,C5H4N4S,152.18,10,9,0.0,0,2,2,39.07,89.45,0.19,0.11,1.02,-0.75,2.78,0.67,-1.52,4.61,0.0303,Very soluble,-1.54,4.35,0.0286,Very soluble,-2.26,0.838,0.00551,Soluble,High,No,No,No,No,No,No,No,-7.15,0,3,0,0,1,0.55,0,1,1,1.72
Molecule 13,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C,C20H22N8O5,454.44,33,16,0.25,10,9,5,118.4,210.54,1.53,-1.85,0.13,-0.73,-0.66,-0.32,-1.19,29.3,0.0644,Very soluble,-2.05,4.02,0.00886,Soluble,-3.99,0.0467,0.000103,Soluble,Low,No,Yes,No,No,No,No,No,-10.39,1,0,1,1,1,0.11,0,0,2,3.58
Molecule 14,COc1cc2nc(nc(c2cc1OC)N)N1CCN(CC1)C(=O)c1ccco1,C19H21N5O4,383.4,28,15,0.32,5,6,1,110.36,106.95,2.97,1.91,1.03,0.5,1.09,1.5,-3.49,0.125,0.00032599999999999996,Soluble,-3.78,0.0638,0.000166,Soluble,-4.62,0.00915,2.3899999999999998e-05,Moderately soluble,High,No,Yes,No,No,Yes,Yes,Yes,-7.28,0,0,0,0,0,0.55,0,0,1,3.09
Molecule 15,N#Cc1ccccc1Cn1c(cc(=O)n(c1=O)C)N1CCC[C@H](C1)N,C18H21N5O2,339.39,25,12,0.39,3,4,1,98.84,97.05,2.37,0.55,0.01,0.9,0.89,0.95,-2.45,1.21,0.0035700000000000003,Soluble,-2.16,2.35,0.00692,Soluble,-3.31,0.165,0.00048499999999999997,Soluble,High,No,No,No,No,No,No,No,-7.98,0,0,0,0,0,0.55,0,0,0,3.51
Molecule 16,CCCC[C@H](COC(=O)/C=C/c1ccc(cc1)OC)CC,C18H26O3,290.4,21,6,0.5,10,3,0,87.57,35.53,4.15,5.3,4.36,3.68,4.87,4.47,-4.53,0.00855,2.95e-05,Moderately soluble,-5.8,0.000463,1.6e-06,Moderately soluble,-5.14,0.0020800000000000003,7.18e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-4.31,0,0,0,0,1,0.55,0,1,2,3.31
Molecule 17,OC(=O)CC[C@@H](C(=O)O)NC(=O)c1ccc(cc1)NC[C@H]1CNc2c(N1C)c(=O)[nH]c(n2)N,C20H25N7O6,459.46,33,12,0.35,10,7,7,125.93,202.77,0.71,-0.49,-1.39,-0.89,-0.66,-0.54,-1.99,4.71,0.0103,Very soluble,-3.3,0.23,0.0005,Soluble,-3.74,0.0832,0.000181,Soluble,Low,No,No,No,No,No,No,No,-9.45,2,1,1,1,2,0.11,0,0,2,4.14
Molecule 18,COc1cc(cc(c1OC)OC)[C@H]1[C@H]2C(=O)OC[C@@H]2[C@H](c2c1cc1OCOc1c2)O,C22H22O8,414.41,30,12,0.41,4,8,1,103.85,92.68,3.25,2.01,2.08,1.43,2.9,2.33,-3.71,0.0812,0.000196,Soluble,-3.58,0.10800000000000001,0.000261,Soluble,-4.75,0.00734,1.77e-05,Moderately soluble,High,No,No,No,No,No,Yes,Yes,-7.4,0,0,0,0,0,0.55,0,0,1,4.64
Molecule 19,OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O,C6H12O6,180.16,12,0,0.83,5,6,5,36.96,118.22,-0.47,-2.94,-3.38,-2.91,-1.6,-2.26,1.23,3030.0,16.8,Highly soluble,1.02,1870.0,10.4,Highly soluble,2.45,50500.0,281.0,Soluble,Low,No,No,No,No,No,No,No,-9.49,0,2,0,0,2,0.55,0,1,1,3.31
Molecule 20,CN[C@H]1Cc2c(CC1)[nH]c1c2cc(cc1)C(=O)N,C14H17N3O,243.3,18,9,0.36,2,2,3,71.43,70.91,1.78,1.25,1.34,1.23,2.31,1.58,-2.37,1.03,0.004229999999999999,Soluble,-2.34,1.12,0.0046,Soluble,-4.2,0.0155,6.35e-05,Moderately soluble,High,No,Yes,Yes,No,No,Yes,No,-6.9,0,0,0,0,0,0.55,1,0,1,2.72
Molecule 21,COc1c2oc(=O)ccc2cc2c1occ2,C12H8O4,216.19,16,13,0.08,1,4,0,58.75,52.58,2.22,2.0,2.55,1.18,2.88,2.16,-2.98,0.22899999999999998,0.00106,Soluble,-2.73,0.402,0.00186,Soluble,-4.63,0.0050100000000000006,2.3199999999999998e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.2,0,0,0,0,0,0.55,0,1,1,2.97
Molecule 22,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O,C20H24N2O2,324.42,24,10,0.45,4,4,1,99.73,45.59,3.33,2.88,2.47,2.23,3.11,2.8,-3.71,0.0632,0.000195,Soluble,-3.5,0.10300000000000001,0.00031800000000000003,Soluble,-4.31,0.016,4.92e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.23,0,0,0,0,0,0.55,0,1,0,4.34
Molecule 23,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](c1ccnc2c1cc(OC)cc2)O,C20H24N2O2,324.42,24,10,0.45,4,4,1,99.73,45.59,3.36,2.88,2.47,2.23,3.11,2.81,-3.71,0.0632,0.000195,Soluble,-3.5,0.10300000000000001,0.00031800000000000003,Soluble,-4.31,0.016,4.92e-05,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-6.23,0,0,0,0,0,0.55,0,1,0,4.34
Molecule 24,C=CCN1CC[C@@]23[C@@]4([C@H]1Cc1c3c(O[C@H]2C(=O)CC4)c(cc1)O)O,C19H21NO4,327.37,24,6,0.53,2,5,2,92.12,70.0,2.09,2.09,0.92,1.3,2.56,1.79,-3.24,0.18899999999999997,0.000576,Soluble,-3.19,0.21100000000000002,0.000646,Soluble,-3.32,0.158,0.000482,Soluble,High,No,Yes,No,No,No,Yes,No,-6.81,0,0,0,0,0,0.55,0,1,0,4.63
Molecule 25,COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OC)C,C17H18N2O6,346.33,25,6,0.29,6,6,1,94.52,110.45,2.87,2.2,1.79,0.83,0.52,1.64,-3.15,0.242,0.0007,Soluble,-4.15,0.0243,7.020000000000001e-05,Moderately soluble,-3.82,0.0527,0.000152,Soluble,High,No,No,Yes,Yes,Yes,No,No,-6.85,0,0,0,0,0,0.55,0,3,0,3.81
Molecule 26,O=C1C[C@@H]2C([C@@]1(C)CC2)(C)C,C10H16O,152.23,11,0,0.9,0,1,0,45.64,17.07,2.12,2.19,2.4,2.3,2.85,2.37,-2.16,1.04,0.00686,Soluble,-2.18,1.0,0.00657,Soluble,-2.6,0.38299999999999995,0.00252,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,1,0,0,2,0.55,0,0,1,3.22
Molecule 27,CCCC[C@@H](COC(=O)/C=C/c1ccc(cc1)OC)CC,C18H26O3,290.4,21,6,0.5,10,3,0,87.57,35.53,4.17,5.3,4.36,3.68,4.87,4.48,-4.53,0.00855,2.95e-05,Moderately soluble,-5.8,0.000463,1.6e-06,Moderately soluble,-5.14,0.0020800000000000003,7.18e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-4.31,0,0,0,0,1,0.55,0,1,2,3.31
Molecule 28,NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)C)O)O)O,C25H48N6O8,560.68,39,0,0.8,28,9,6,142.48,205.84,4.33,-2.11,0.92,-0.03,0.56,0.73,-0.14,407.0,0.726,Very soluble,-1.68,11.6,0.0207,Very soluble,-3.48,0.18600000000000003,0.000331,Soluble,Low,No,Yes,No,No,No,No,No,-11.22,3,3,2,1,4,0.17,0,2,2,4.1
Molecule 29,COC(=O)C[C@@](C(=O)O[C@@H]1C(=C[C@]23[C@@H]1c1cc4OCOc4cc1CCN3CCC2)OC)(CCCC(O)(C)C)O,C29H39NO9,545.62,39,6,0.66,11,10,2,144.66,123.99,4.11,0.82,2.2,1.4,3.29,2.36,-3.13,0.40700000000000003,0.000746,Soluble,-3.01,0.5379999999999999,0.000986,Soluble,-4.54,0.0159,2.9100000000000003e-05,Moderately soluble,High,No,No,No,No,No,Yes,Yes,-9.05,1,3,1,0,0,0.55,0,1,2,6.43
Molecule 30,OC(=O)[C@H](c1cccc(c1)C(=O)c1ccccc1)C,C16H14O3,254.28,19,12,0.12,4,3,1,72.67,54.37,1.91,3.12,3.11,2.69,3.37,2.84,-3.59,0.066,0.00026000000000000003,Soluble,-3.93,0.0298,0.000117,Soluble,-4.68,0.00535,2.1e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.64,0,0,0,0,0,0.56,0,0,0,2.57
Molecule 31,CC(N/C(=N/S(=O)(=O)c1cnccc1Nc1cccc(c1)C)/O)C,C16H20N4O3S,348.42,24,12,0.25,6,5,3,94.32,112.06,2.71,3.21,3.82,1.77,1.39,2.58,-4.0,0.0351,0.000101,Soluble,-5.24,0.00203,5.81e-06,Moderately soluble,-5.26,0.0019100000000000002,5.48e-06,Moderately soluble,High,No,No,No,No,Yes,No,No,-6.15,0,0,0,0,0,0.55,0,2,0,3.53
Molecule 32,CN(CCc1c[nH]c2c1cc(cc2)Cn1cncn1)C,C15H19N5,269.34,20,14,0.33,5,3,1,79.91,49.74,2.28,2.02,1.91,1.49,2.16,1.97,-2.97,0.28800000000000003,0.00107,Soluble,-2.69,0.5479999999999999,0.00203,Soluble,-4.77,0.00461,1.7100000000000002e-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,No,-6.51,0,0,0,0,0,0.55,0,0,0,2.19
Molecule 33,COc1ccc(cc1)[C@H](C1(O)CCCCC1)CN(C)C,C17H27NO2,277.4,20,6,0.65,5,3,1,83.14,32.7,3.36,-0.92,3.04,2.42,3.19,2.21,-0.87,37.2,0.134,Very soluble,0.72,1450.0,5.21,Highly soluble,-4.17,0.0188,6.790000000000001e-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-8.65,0,0,0,0,0,0.55,0,0,0,2.61
Molecule 34,OC(=O)CCCN1CCC(CC1)O[C@H](c1ccccn1)c1ccc(cc1)Cl,C21H25ClN2O3,388.89,27,12,0.43,8,5,1,109.52,62.66,3.25,1.03,3.47,2.35,3.91,2.8,-2.7,0.774,0.00199,Soluble,-1.94,4.51,0.0116,Very soluble,-5.96,0.000426,1.1e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-7.94,0,0,0,0,0,0.55,0,0,2,3.39
