Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,Clc1ccc(cc1)[C@@H](c1ccccc1)N1CCN(CC1)Cc1ccc(cc1)C(C)(C)C,C28H33ClN2,433.03,31,18,0.36,6,2,0,140.2,6.48,5.02,7.06,5.31,5.38,6.56,5.86,-7.01,4.2700000000000015e-05,9.86e-08,Poorly soluble,-7.01,4.2e-05,9.7e-08,Poorly soluble,-9.38,1.7899999999999995e-07,4.13e-10,Poorly soluble,Low,No,Yes,No,No,No,Yes,No,-3.93,1,1,0,0,1,0.55,0,0,2,3.38
Molecule 2,COC(=O)[C@@H](CS)N,C4H9NO2S,135.18,8,0,0.75,3,3,1,33.26,91.12,1.24,-0.47,-0.58,-0.39,-0.28,-0.1,-0.18,88.5,0.655,Very soluble,-0.98,14.3,0.105,Very soluble,-0.13,100.0,0.741,Soluble,High,No,No,No,No,No,No,No,-7.46,0,4,0,0,2,0.55,0,1,1,1.87
Molecule 3,CCCC[C@@H](CN1CN(C[C@H](CCCC)CC)CC(C1)(C)N)CC,C21H45N3,339.6,24,0,1.0,12,3,1,117.31,32.5,4.6,5.74,3.95,3.82,4.73,4.57,-4.77,0.00577,1.7e-05,Moderately soluble,-6.19,0.00021899999999999998,6.459999999999999e-07,Poorly soluble,-5.34,0.00155,4.57e-06,Moderately soluble,High,Yes,No,No,No,No,Yes,No,-4.3,0,0,1,0,1,0.55,0,0,2,4.46
Molecule 4,c1ccc(cc1)/C=C/CN1CCN(CC1)C(c1ccccc1)c1ccccc1,C26H28N2,368.51,28,18,0.23,6,2,0,125.86,6.48,4.36,5.77,3.91,4.44,5.15,4.73,-5.84,0.000533,1.45e-06,Moderately soluble,-5.67,0.000779,2.11e-06,Moderately soluble,-7.7,7.299999999999999e-06,1.98e-08,Poorly soluble,High,Yes,Yes,No,No,Yes,Yes,No,-4.45,1,0,0,0,1,0.55,0,0,2,3.49
Molecule 5,Clc1ccc(c(c1)C(=O)Nc1ccc(cc1Cl)[N+](=O)[O-])O,C13H8Cl2N2O4,327.12,21,12,0.0,4,4,2,81.52,95.15,2.09,5.32,3.67,2.44,1.22,2.95,-5.38,0.00137,4.18e-06,Moderately soluble,-7.07,2.78e-05,8.51e-08,Poorly soluble,-4.93,0.00387,1.18e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,Yes,-4.52,0,0,0,0,1,0.55,0,2,1,2.01
Molecule 6,CN([C@@H]1C(=C(C(=N)O)C(=O)[C@]2([C@H]1C[C@H]1C(=C2O)C(=O)c2c([C@]1(C)O)cccc2O)O)O)C,C22H24N2O8,444.43,32,6,0.41,2,10,7,112.47,182.61,1.76,-1.11,0.73,-1.68,-0.22,-0.1,-1.9,5.56,0.0125,Very soluble,-2.23,2.59,0.00583,Soluble,-1.75,7.89,0.0177,Soluble,Low,No,No,No,No,No,No,No,-9.8,1,0,1,1,2,0.11,0,2,1,5.12
Molecule 7,OCCN(C[C@@H](Cn1cnc2c1c(=O)n(C)c(=O)n2C)O)C,C13H21N5O4,311.34,22,9,0.62,6,6,2,81.29,105.52,2.61,-1.78,-2.28,-0.68,-1.28,-0.68,-0.56,86.6,0.278,Very soluble,0.08,374.0,1.2,Highly soluble,-0.51,97.3,0.313,Soluble,Low,No,No,No,No,No,No,No,-9.46,0,1,0,0,0,0.55,0,0,0,3.25
Molecule 8,Clc1ccc(cc1)[C@H](c1ccccc1)N1CCN(CC1)Cc1ccc(cc1)C(C)(C)C,C28H33ClN2,433.03,31,18,0.36,6,2,0,140.2,6.48,5.05,7.06,5.31,5.38,6.56,5.87,-7.01,4.2700000000000015e-05,9.86e-08,Poorly soluble,-7.01,4.2e-05,9.7e-08,Poorly soluble,-9.38,1.7899999999999995e-07,4.13e-10,Poorly soluble,Low,No,Yes,No,No,No,Yes,No,-3.93,1,1,0,0,1,0.55,0,0,2,3.38
Molecule 9,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1N)O)O)O[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)CCC(=O)N)C)C)NC(=O)C,C25H43N5O15,653.63,45,0,0.8,18,16,11,144.6,331.78,0.82,-8.41,-6.53,-6.0,-5.05,-5.04,2.59,257000.0,392.0,Highly soluble,2.21,106000.0,162.0,Highly soluble,2.4,166000.0,254.0,Soluble,Low,No,Yes,No,No,No,No,No,-16.26,3,4,2,1,6,0.17,0,0,2,6.78
Molecule 10,OCc1cc2CC[C@@H](Nc2cc1[N+](=O)[O-])CNC(C)C,C14H21N3O3,279.33,20,6,0.57,5,4,3,83.32,90.11,2.41,2.24,1.09,0.64,0.26,1.33,-2.88,0.3720000000000001,0.00133,Soluble,-3.77,0.0477,0.000171,Soluble,-3.54,0.0813,0.000291,Soluble,High,No,Yes,No,No,No,No,No,-6.41,0,0,0,0,0,0.55,0,2,0,3.25
